               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11977,             0.02205,            0.044612,           0.0030858,                0.35,            0.003042,          0.00076419,            0.060488,            0.020535,            0.024586,            0.070652,           0.0032609,           0.0032609
                   1,            0.083332,             0.02247,            0.038149,             0.88429,            0.088003,             0.13913,            0.040275,             0.05547,            0.017573,            0.021896,            0.040651,           0.0065929,           0.0065929
                   2,            0.071947,            0.018357,            0.035465,            0.057782,                0.15,             0.14549,            0.079503,            0.054441,            0.012524,            0.021494,            0.010648,           0.0099236,           0.0099236
                   3,            0.063902,            0.016989,            0.033075,             0.58405,               0.475,             0.69623,             0.18456,            0.047841,            0.011134,            0.016384,           0.0099941,           0.0099941,           0.0099941
                   4,            0.060246,            0.013933,              0.0269,             0.75122,             0.44985,              0.4851,             0.13781,            0.039725,           0.0098399,            0.014753,           0.0099941,           0.0099941,           0.0099941
                   5,            0.056236,            0.012798,            0.024093,             0.28067,             0.53738,             0.40124,             0.25124,            0.034977,           0.0090617,            0.013034,           0.0099921,           0.0099921,           0.0099921
                   6,            0.052753,            0.012231,            0.020147,             0.43545,             0.88019,             0.67155,             0.41357,            0.032306,           0.0081865,            0.011121,           0.0099901,           0.0099901,           0.0099901
                   7,            0.050263,            0.010673,            0.018837,             0.50646,               0.875,             0.68689,             0.42107,            0.030428,           0.0075777,             0.01001,           0.0099881,           0.0099881,           0.0099881
                   8,               0.048,            0.010009,            0.015157,             0.50204,                 0.9,             0.74739,              0.5689,             0.03034,            0.007139,           0.0088332,           0.0099861,           0.0099861,           0.0099861
                   9,            0.047247,           0.0093947,            0.012292,             0.47219,                0.85,             0.85314,             0.49273,            0.030751,           0.0071676,           0.0081788,           0.0099842,           0.0099842,           0.0099842
                  10,            0.045636,           0.0092157,            0.012958,             0.85247,                0.85,             0.89044,             0.64418,            0.027427,           0.0068404,           0.0081244,           0.0099822,           0.0099822,           0.0099822
